"","web_ID","synchrony","site","SiteCluster","ecosystem","web","transect","synchrony.Gross","sd","mu","CV","biomass_stability","biomass_stability2","year_count","season"
"1","core_black_1_NA",0.440199718369699,"core_black","FivePoints","Desert grassland",1,NA,0.206149785272088,37.5722433779295,59.7644922057745,0.628671674287216,1.59065541028836,2.53018463427963,24,"spring"
"2","core_black_2_NA",0.594187869344046,"core_black","FivePoints","Desert grassland",2,NA,0.475606103117477,29.6573704613995,63.2624781742273,0.468798746386791,2.1331115061791,4.55016469779366,11,"spring"
"3","core_black_3_NA",0.649438087859674,"core_black","FivePoints","Desert grassland",3,NA,0.380238977602671,43.8538906239145,86.8094953415511,0.505173891996167,1.97951639196664,3.91848514606464,11,"spring"
"4","core_black_4_NA",0.186849251033523,"core_black","FivePoints","Desert grassland",4,NA,0.200346975825937,36.8278756940709,73.9295388713821,0.498148321446205,2.00743424588251,4.02979225154188,24,"spring"
"5","core_black_5_NA",0.363915014032109,"core_black","FivePoints","Desert grassland",5,NA,0.244000066794685,34.803291507667,63.8797486375255,0.544825116722863,1.83545135733651,3.36888168514843,24,"spring"
"6","core_blue_1_NA",0.317446542524342,"core_blue","BlueGrama","Plains grassland",1,NA,0.272516758568156,26.6271240195684,38.689999648249,0.68821722051304,1.45302961070131,2.1112950495748,21,"spring"
"7","core_blue_2_NA",0.197902602065207,"core_blue","BlueGrama","Plains grassland",2,NA,0.198577822677531,19.1308758625619,34.9899207945307,0.546753905929168,1.82897641727968,3.34515473496521,21,"spring"
"8","core_blue_3_NA",0.312527276886953,"core_blue","BlueGrama","Plains grassland",3,NA,0.265589322948019,19.557516521087,32.9679361327649,0.593228415704492,1.68569133495138,2.84155527673018,21,"spring"
"9","core_blue_4_NA",0.403998992777522,"core_blue","BlueGrama","Plains grassland",4,NA,0.308541381244024,19.1404812346659,30.9139521541746,0.619153485753234,1.6151084068976,2.60857516603129,21,"spring"
"10","core_blue_5_NA",0.421795979080734,"core_blue","BlueGrama","Plains grassland",5,NA,0.314944211217793,19.7327969054917,21.0007998350516,0.939621207786403,1.06425865201131,1.13264647838094,21,"spring"
"11","core_creosote_1_NA",0.466883727926253,"core_creosote","FivePoints","Desert shrubland",1,NA,0.240435048982863,33.7444364905752,60.028128477735,0.562143737382907,1.77890445716884,3.16450106773515,24,"spring"
"12","core_creosote_2_NA",0.163761509044269,"core_creosote","FivePoints","Desert shrubland",2,NA,0.199163432207159,14.6023246953725,44.9901468455198,0.32456717124111,3.08102632862131,9.49272323765771,24,"spring"
"13","core_creosote_3_NA",0.436931531227828,"core_creosote","FivePoints","Desert shrubland",3,NA,0.237772171848859,30.0499858905022,65.5126156723542,0.458690064228088,2.18012134551652,4.75292908117678,24,"spring"
"14","core_creosote_4_NA",0.174963533973428,"core_creosote","FivePoints","Desert shrubland",4,NA,0.155895108506106,28.5763153650845,91.2384232862109,0.313204835592586,3.19279872581786,10.1939637035841,24,"spring"
"15","core_creosote_5_NA",0.549540282560446,"core_creosote","FivePoints","Desert shrubland",5,NA,0.153278483903801,53.892763766946,113.427889690398,0.475127977026169,2.10469609947831,4.42974567115923,24,"spring"
"16","core_PJ_NA_A",0.780536610796812,"core_PJ","CerroMontosa","Pinon woodland",NA,"A",0.0983221452567637,96.0210914955,139.719373727716,0.68724249854301,1.45509045514509,2.11728823265436,19,"spring"
"17","core_PJ_NA_B",0.340531928843562,"core_PJ","CerroMontosa","Pinon woodland",NA,"B",0.15274639833846,22.9810269974655,40.7046018762211,0.564580561857568,1.77122640692734,3.13724298459674,19,"spring"
"18","core_PJ_NA_C",0.701700419857095,"core_PJ","CerroMontosa","Pinon woodland",NA,"C",0.0638762803138559,44.807548049437,53.6812346075974,0.834696675234357,1.19803999425208,1.43529982782753,19,"spring"
"19","core_PJ_NA_D",0.915420808250157,"core_PJ","CerroMontosa","Pinon woodland",NA,"D",0.119815207081596,112.127458100663,121.221048872958,0.924983401341255,1.08110048088427,1.1687782497682,19,"spring"
"20","core_PJ_NA_N",0.551456929953596,"core_PJ","CerroMontosa","Pinon woodland",NA,"N",0.150195181128557,38.0590137238312,55.4139664322179,0.68681266067436,1.4560011153815,2.11993924799216,19,"spring"
"21","core_PJ_NA_R",0.571674731745655,"core_PJ","CerroMontosa","Pinon woodland",NA,"R",0.165784567857603,52.6377359058047,75.9790811707264,0.6927924778075,1.44343368618079,2.08350080640145,19,"spring"
"22","core_PJ_NA_S",0.272004972491764,"core_PJ","CerroMontosa","Pinon woodland",NA,"S",0.18263689274792,62.0082000247377,124.499833571832,0.498058497314868,2.00779628375221,4.03124591704917,19,"spring"
"23","core_PJ_NA_V",0.429977984960794,"core_PJ","CerroMontosa","Pinon woodland",NA,"V",0.133457291062345,64.043967988242,109.726757243003,0.583667736087463,1.71330354270285,2.93540902943812,19,"spring"
"24","core_black_1_NA",0.203393922130615,"core_black","FivePoints","Desert grassland",1,NA,0.103131580106032,44.0628758462697,105.875529352977,0.416176203467839,2.40282839736481,5.77358430718276,24,"fall"
"25","core_black_2_NA",0.663397070125099,"core_black","FivePoints","Desert grassland",2,NA,0.437393533799003,48.0304832570514,100.73424128065,0.47680394120641,2.097298100074,4.39865932057402,10,"fall"
